구동사,의미,예문
get up,일어나다,"I usually get up at 7 AM to go to work."
pick up,집다,"Can you pick up that book from the floor?"
turn on,켜다,"Please turn on the lights it's getting dark."
turn off,끄다,"Don't forget to turn off the TV before bed."
look for,찾다,"I'm looking for my keys have you seen them?"
put on,입다,"She put on her jacket before going outside."
take off,벗다,"He took off his shoes at the door."
get on,탑승하다,"We got on the bus at the main station."
get off,내리다,"We need to get off at the next stop."
sit down,앉다,"Please sit down and make yourself comfortable."
stand up,일어서다,"Everyone stood up when the teacher entered."
wake up,깨다,"What time do you usually wake up in the morning?"
go out,나가다,"Let's go out for dinner tonight."
come in,들어오다,"Come in the door is open!"
get in,들어가다,"She got in the car and drove away."
get out,나오다,"Get out of the house and get some fresh air."
run into,우연히 만나다,"I ran into an old friend at the supermarket."
look after,돌보다,"Can you look after my cat this weekend?"
take after,닮다,"She takes after her mother in personality."
give up,포기하다,"Never give up on your dreams."
call off,취소하다,"They called off the meeting due to bad weather."
put off,연기하다,"Don't put off your homework until tomorrow."
hold on,기다리다,"Hold on I'll be right back."
put up with,참다,"I can't put up with this noise anymore."
look forward to,기대하다,"I'm looking forward to seeing you next week."
run out of,떨어지다,"We've run out of milk need to buy some."
get along with,잘 지내다,"Do you get along with your coworkers?"
break up,헤어지다,"They broke up after dating for two years."
cut down,줄이다,"We need to cut down our expenses this month."
find out,알아내다,"I just found out that she's moving to Canada."
figure out,이해하다,"I can't figure out how to solve this problem."
get over,극복하다,"It took her months to get over her illness."
grow up,자라다,"Where did you grow up as a child?"
hand in,제출하다,"Don't forget to hand in your assignment tomorrow."
keep on,계속하다,"Keep on practicing you'll improve quickly."
look up,찾아보다,"Look up this word in the dictionary."
pass out,기절하다,"He passed out from the heat during the game."
pay back,갚다,"I need to pay back the money I borrowed."
pick out,선택하다,"Pick out any dress you like for the party."
point out,지적하다,"She pointed out my mistake politely."
put away,치우다,"Put away your toys after playing with them."
put up,게시하다,"They put up a notice on the bulletin board."
ring up,전화하다,"Ring up the restaurant to make a reservation."
set up,설정하다,"We need to set up the equipment before the show."
show up,나타나다,"He didn't show up for work yesterday."
take over,인수하다,"The new manager will take over next month."
talk over,토론하다,"Let's talk over the plan during lunch."
thank for,감사하다,"Thank you for helping me with my project."
think over,숙고하다,"Think over my offer before you decide."
turn around,돌아서다,"Turn around and look at the beautiful sunset."
turn down,거절하다,"She turned down the job offer from Google."
turn up,나타나다,"He turned up at the party unexpectedly."
use up,다 써버리다,"We used up all the sugar making cookies."
watch out,조심하다,"Watch out there's a car coming!"
work out,운동하다,"I work out at the gym three times a week."
